2024-02-29 18:55:50.606  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-0d448d1d0815126b847928c9bb09261c Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.606  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-a3a16a18ed0eae6c47e4aed8e98334dd Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.606  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-afa75c07d9171f7694446bda6b943329 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.606  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-d377b3545d84feb31ed769eed67ba851 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.606  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-f1c98d22ad7ef18f93ece1b5aaa82e57 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.607  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-2961c236622bcd3c9402b29d76f109aa Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.607  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-8547587e5d41ed027767ad4373f878e8 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.607  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-c961ebd11a7c22be1d0026e846c0e5ad Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.607  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-e3378f20e0c86afe8a3f86a8fd429976 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.607  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-7acbc014fecbf7d49ed0c7165d66ad22 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.607  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-c1d244ece653376769342cbc95fc184b Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.608  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-d38df004053c078f22c1c29a5e3c6573 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.608  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-a9ed926130af64c950582f15cd310046 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.608  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-75d35ac50a94e0940fbbf6e49eab5b82 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.608  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-6be66d9aaf6bc2f554e2570e3c7c910a Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.608  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-8c6dfa8a210545b0220663c123831570 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.608  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-eb062d5864c8ab63e83352c87cb25245 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.609  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-db5dbb58ef690144255618518a1ef07b Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.609  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-c340714e39977ca35465b9e0487a52bf Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.609  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-3a536e69d10ac9da8314d203a78ab599 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.609  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-974c182e30ab29718452e278a9eb7697 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.609  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-0e1cf85f624c2edb0a8ca860c0575450 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.609  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-b94bb464ea189a19bf633d837fc37b18 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.610  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-5dbad8fef4b892bf4cac2c1aafbdd76d Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.610  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-5990fe8d6c853db370e6c56ca86fa2ae Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.610  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-5c8b947a4aec1712f1615f8994b70785 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.610  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-f85d3d268b16c859e2c3b721e26d6217 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.610  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-91659f93aaf10590c074fa3a1f9db043 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.610  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-73dc781b4ca2956667060561ffd566da Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.611  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-b8f183e7f9deea03f63ae38d4889b71d Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.611  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-57a28b843e40be9ef492621afaa27aa5 Requested Resources: Requirements(cpu=6, ram=38654705664)
2024-02-29 18:55:50.611  INFO 1 --- [       Thread-3] c.s.s.nodeassign.RandomNodeAssign        : Pod: nf-6f784f9efe5fd17c62404466025b0d46 Requested Resources: Requirements(cpu=6, ram=38654705664)
